Annee;décès
1901;818900
1902;825315
1903;801379
1904;794566
1905;802536
1906;812338
1907;820051
1908;830871
1909;784415
1910;792798
1911;737877
1912;813653
1913;726848
1914;736937
1915;774931
1916;747968
1917;697676
1918;712744
1919;867816
1920;739901
1921;675676
1922;697904
1923;692322
1924;670326
1925;683296
1926;712211
1927;716966
1928;679809
1929;678269
1930;742732
1931;652953
1932;682816
1933;663705
1934;664133
1935;637713
1936;661722
1937;645844
1938;632896
1939;650832
1940;645677
1941;740281
1942;675261
1943;656261
1944;626780
1945;666878
1946;643899
1947;545880
1948;538157
1949;513210
1950;573598
1951;534480
1952;565829
1953;524831
1954;556983
1955;518892
1956;526322
1957;545700
1958;532107
1959;500596
1960;509114
1961;520960
1962;500289
1963;541147
1964;557852
1965;520033
1966;543696
1967;528782
1968;543033
1969;553441
1970;573335
1971;542277
1972;554151
1973;549900
1974;558782
1975;552551
1976;560353
1977;557114
1978;536221
1979;546916
1980;541805
1981;547107
1982;554823
1983;543104
1984;559655
1985;542490
1986;552496
1987;546926
1988;527466
1989;524600
1990;529283
1991;526201
1992;524685
1993;521530
1994;532263
1995;519965
1996;531618
1997;535775
1998;530319
1999;534005
2000;537661
2001;531073
2002;535144
2003;552339
2004;509429
2005;527533
2006;516416
2007;521016
2008;532131
2009;538166
2010;540469
2011;534795
2012;559227
2013;558408
2014;547003
2015;581770
2016;581073
2017;593606
2018;596552
2019;599408
2020;654599
2021;644201
2022;658434
2023;616000
