Annee;Nombre d'IVG
1976;250000
1977;253000
1978;256000
1979;259000
1980;262000
1981;265000
1982;263000
1983;261000
1984;260000
1985;249000
1986;239000
1987;230000
1988;230000
1989;230000
1990;208325
1991;211533
1992;204105
1993;203679
1994;202426
1995;193763
1996;202567
1997;204157
1998;211075
1999;210735
2000;205099
2001;215611
2002;220070
2003;216436
2004;221587
2005;219421
2006;228678
2007;226812
2008;222188
2009;222277
2010;225836
2011;221970
2012;219148
2013;228984
2014;227055
2015;220319
2016;216068
2017;217793
2018;225226
2019;233259
2020;223296
2021;225175
2022;242997
