Année;50-64 ans
1975;1725
1976;1745
1977;1793
1978;1784
1979;1841
1980;1907
1981;1945
1982;1952
1983;1884
1984;1885
1985;1864
1986;1867
1987;1877
1988;1875
1989;1866
1990;1849
1991;1815
1992;1784
1993;1779
1994;1813
1995;1860
1996;1911
1997;2002
1998;2101
1999;2267
2000;2368
2001;2462
2002;2606
2003;2823
2004;2944
2005;3067
2006;3168
2007;3243
2008;3303
2009;3414
2010;3526
2011;3626
2012;3789
2013;3875
2014;4018
2015;4103
2016;4186
2017;4250
2018;4294
2019;4349
2020;4385
2021;4435
2022;4515
2023;4607
