Annee;Taux 65 ans et plus
1970;12,87;
1971;12,99;
1972;13,09;
1973;13,2;
1974;13,33;
1975;13,47;
1976;13,59;
1977;13,71;
1978;13,86;
1979;13,98;
1980;13,93;
1981;13,64;
1982;13,31;
1983;13,04;
1984;12,86;
1985;12,92;
1986;13,16;
1987;13,39;
1988;13,61;
1989;13,82;
1990;14,03;
1991;14,08;
1992;14,3;
1993;14,51;
1994;14,74;
1995;14,97;
1996;15,2;
1997;15,41;
1998;15,59;
1999;15,74;
2000;15,87;
2001;15,99;
2002;16,09;
2003;16,17;
2004;16,26;
2005;16,34;
2006;16,34;
2007;16,36;
2008;16,44;
2009;16,55;
2010;16,67;
2011;16,94;
2012;17,35;
2013;17,79;
2014;18,19;
2015;18,63;
2016;19,07;
2017;19,47;
2018;19,84;
2019;20,22;
2020;20,56;
