Annee;Taux de pauvreté
1970;18,2
1971;
1972;
1973;
1974;
1975;17,4
1976;
1977;
1978;
1979;14,8
1980;
1981;
1982;
1983;
1984;13,8
1985;
1986;
1987;
1988;
1989;
1990;14,7
1991;
1992;
1993;
1994;
1995;
1996;15,7
1997;15,4
1998;15,4
1999;14,9
2000;15,2
2001;15,1
2002;14,8
2003;14,5
2004;14,4
2005;14,5
2006;14,6
2007;14,7
2008;14,6
2009;14,7
2010;15,4
2011;15,7
2012;15,3
2013;15
2014;15,2
2015;15,3
2016;15,4
2017;15,2
2018;15,8
2019;15,6
2020;15,1
2021;15,8
