Annee;Âge moyen des mères à l'accouchement
1901;29.4
1902;29.3
1903;29.4
1904;29.3
1905;29.3
1906;29.2
1907;29
1908;28.9
1909;28.9
1910;28.9
1911;28.8
1912;28.7
1913;28.7
1914;28.7
1915;29.5
1916;30
1917;30
1918;30.2
1919;30.1
1920;29.3
1921;28.7
1922;28.7
1923;28.7
1924;28.7
1925;28.6
1926;28.5
1927;28.4
1928;28.5
1929;28.3
1930;28.3
1931;28.2
1932;28.2
1933;28.1
1934;28
1935;27.9
1936;27.9
1937;27.9
1938;27.9
1939;27.9
1940;28.4
1941;28.7
1942;28.6
1943;28.4
1944;28.6
1945;28.6
1946;28.8
1947;28.4
1948;28.3
1949;28.2
1950;28.2
1951;28.1
1952;28.1
1953;28
1954;28
1955;27.9
1956;27.9
1957;27.9
1958;27.8
1959;27.7
1960;27.6
1961;27.5
1962;27.5
1963;27.4
1964;27.3
1965;27.3
1966;27.3
1967;27.3
1968;27.3
1969;27.3
1970;27.2
1971;27.1
1972;27
1973;26.9
1974;26.8
1975;26.7
1976;26.6
1977;26.5
1978;26.6
1979;26.7
1980;26.8
1981;27
1982;27.1
1983;27.1
1984;27.2
1985;27.5
1986;27.7
1987;27.9
1988;28
1989;28.2
1990;28.3
1991;28.4
1992;28.5
1993;28.7
1994;28.8
1995;29
1996;29.1
1997;29.2
1998;29.3
1999;29.3
2000;29.4
2001;29.4
2002;29.5
2003;29.5
2004;29.6
2005;29.7
2006;29.8
2007;29.8
2008;29.9
2009;29.9
2010;30
2011;30.1
2012;30.1
2013;30.2
2014;30.3
2015;30.4
2016;30.5
2017;30.6
2018;30.7
2019;30.8
2020;30.9
2021;31
2022;31.1
2023;31.1
